x,y,z
3.6,9.0,0.0
3.6,9.2,0.0
3.6,9.4,0.0
3.6,9.6,0.0
3.8,0.0,0.0
3.8,0.2,0.0
3.8,0.4,0.031
3.8,0.6,0.087
3.8,0.8,0.091
3.8,1.0,0.0
3.8,1.2,0.092
3.8,1.4,0.0
3.8,1.6,0.198
3.8,1.8,0.227
3.8,2.0,0.0
3.8,2.2,0.175
3.8,2.4,0.0
3.8,2.6,0.154
3.8,2.8,0.155
3.8,3.0,0.103
3.8,3.2,0.042
3.8,3.4,0.0
3.8,3.6,0.0
3.8,3.8,0.0
3.8,4.0,0.016
3.8,4.2,0.0
3.8,4.4,0.0
3.8,4.6,0.0
3.8,4.8,0.0325
3.8,5.0,0.119
3.8,5.2,0.14
3.8,5.4,0.0
3.8,5.6,0.122
3.8,5.8,0.158
3.8,6.0,0.0
3.8,6.2,0.0
3.8,6.4,0.22
3.8,6.6,0.171
3.8,6.8,0.122
3.8,7.0,0.098
3.8,7.2,0.0
3.8,7.4,0.078
3.8,7.6,0.0
3.8,7.8,0.0
3.8,8.0,0.0
3.8,8.2,0.0
3.8,8.4,0.02
3.8,8.6,0.0
3.8,8.8,0.009
3.8,9.0,0.0
3.8,9.2,0.028
3.8,9.4,0.0
3.8,9.6,0.0
4.0,0.0,0.0
4.0,0.2,0.0
4.0,0.4,0.071
4.0,0.6,0.127
4.0,0.8,0.131
4.0,1.0,0.0
4.0,1.2,0.132
4.0,1.4,0.0
4.0,1.6,0.238
4.0,1.8,0.267
4.0,2.0,0.0
4.0,2.2,0.215
4.0,2.4,0.0
4.0,2.6,0.194
4.0,2.8,0.195
4.0,3.0,0.143
4.0,3.2,0.082
4.0,3.4,0.0
4.0,3.6,0.0
4.0,3.8,0.038
4.0,4.0,0.056
4.0,4.2,0.0
4.0,4.4,0.01
4.0,4.6,0.007
4.0,4.8,0.0685
4.0,5.0,0.159
4.0,5.2,0.18
4.0,5.4,0.0
4.0,5.6,0.163
4.0,5.8,0.198
4.0,6.0,0.0
4.0,6.2,0.0
4.0,6.4,0.26
4.0,6.6,0.211
4.0,6.8,0.162
4.0,7.0,0.138
4.0,7.2,0.0
4.0,7.4,0.118
4.0,7.6,0.0
4.0,7.8,0.0
4.0,8.0,0.0
4.0,8.2,0.0
4.0,8.4,0.06
4.0,8.6,0.0
4.0,8.8,0.049
4.0,9.0,0.033
4.0,9.2,0.069
4.0,9.4,0.0
4.0,9.6,0.0
4.2,0.0,0.0
4.2,0.2,0.0
4.2,0.4,0.098
4.2,0.6,0.154
4.2,0.8,0.158
4.2,1.0,0.0
4.2,1.2,0.159
4.2,1.4,0.0
4.2,1.6,0.265
4.2,1.8,0.294
4.2,2.0,0.0
4.2,2.2,0.242
4.2,2.4,0.0
4.2,2.6,0.221
4.2,2.8,0.222
4.2,3.0,0.17
4.2,3.2,0.11
4.2,3.4,0.0
4.2,3.6,0.0
4.2,3.8,0.065
4.2,4.0,0.083
4.2,4.2,0.0
4.2,4.4,0.037
4.2,4.6,0.034
4.2,4.8,0.0955
4.2,5.0,0.186
4.2,5.2,0.207
4.2,5.4,0.0
4.2,5.6,0.19
4.2,5.8,0.225
4.2,6.0,0.0
4.2,6.2,0.0
4.2,6.4,0.287
4.2,6.6,0.238
4.2,6.8,0.189
4.2,7.0,0.165
4.2,7.2,0.0
4.2,7.4,0.145
4.2,7.6,0.0
4.2,7.8,0.027
4.2,8.0,0.019
4.2,8.2,0.0
4.2,8.4,0.087
4.2,8.6,0.0
4.2,8.8,0.076
4.2,9.0,0.06
4.2,9.2,0.096
4.2,9.4,0.0
4.2,9.6,0.0
4.4,0.0,0.0
4.4,0.2,0.0
4.4,0.4,0.079
4.4,0.6,0.135
4.4,0.8,0.139
4.4,1.0,0.0
4.4,1.2,0.14
4.4,1.4,0.0
4.4,1.6,0.246
4.4,1.8,0.275
4.4,2.0,0.0
4.4,2.2,0.223
4.4,2.4,0.0
4.4,2.6,0.202
4.4,2.8,0.203
4.4,3.0,0.151
4.4,3.2,0.09
4.4,3.4,0.0
4.4,3.6,0.0
4.4,3.8,0.046
4.4,4.0,0.064
4.4,4.2,0.0
4.4,4.4,0.018
4.4,4.6,0.015
4.4,4.8,0.0765
4.4,5.0,0.167
4.4,5.2,0.188
4.4,5.4,0.0
4.4,5.6,0.17
4.4,5.8,0.206
4.4,6.0,0.0
4.4,6.2,0.0
4.4,6.4,0.268
4.4,6.6,0.219
4.4,6.8,0.17
4.4,7.0,0.146
4.4,7.2,0.0
4.4,7.4,0.126
4.4,7.6,0.0
4.4,7.8,0.008
4.4,8.0,0.0
4.4,8.2,0.0
4.4,8.4,0.068
4.4,8.6,0.0
4.4,8.8,0.057
4.4,9.0,0.041
4.4,9.2,0.077
4.4,9.4,0.0
4.4,9.6,0.0
4.6,0.0,0.0
4.6,0.2,0.0
4.6,0.4,0.0
4.6,0.6,0.0
4.6,0.8,0.0
